miRNA,miRNA_name,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0000423,Unknown (MIMAT0000423),10.20161224489796,8.838938005390835,-0.2068522252561844,5.4853230927817675e-21,9.399441931706315,8.421584277741421e-20
MIMAT0004482,Unknown (MIMAT0004482),4.929020408163265,3.774576819407008,-0.3849860462938399,1.1573332692251085e-20,9.320554988164387,1.6781332403764077e-19
MIMAT0004584,Unknown (MIMAT0004584),5.646306122448981,4.546768194070081,-0.3124658949984633,3.269230803646421e-20,9.20973761509358,4.490890735535347e-19
MIMAT0000082,Unknown (MIMAT0000082),11.962244897959184,10.973320754716982,-0.1244879774117566,5.3597751206645805e-20,9.156520232545452,6.994506532467277e-19
MIMAT0003389,Unknown (MIMAT0003389),8.967877551020408,7.65466037735849,-0.2284282099404504,1.2305515386284898e-19,9.06636372564039,1.5293997694382661e-18
MIMAT0000088,Unknown (MIMAT0000088),13.19265306122449,11.659067385444745,-0.1782823305177232,1.4203969765545802e-19,9.050711554302705,1.685107322185206e-18
MIMAT0002820,Unknown (MIMAT0002820),5.173224489795919,3.845962264150943,-0.4277191907169435,3.361441324132983e-19,8.95617243942309,3.814505154776994e-18
MIMAT0000083,Unknown (MIMAT0000083),11.078755102040818,9.949361185983827,-0.1551199743937585,4.59028495152082e-19,8.921737662480185,4.846755008081778e-18
MIMAT0000425,Unknown (MIMAT0000425),6.830938775510204,5.336913746630727,-0.3560781664622059,4.642485639925075e-19,8.92048548877317,4.846755008081778e-18
MIMAT0000254,Unknown (MIMAT0000254),10.524244897959184,13.430369272237195,0.351782247312209,7.007106305129779e-19,-8.87478114846713,7.034056713995663e-18
MIMAT0000731,Unknown (MIMAT0000731),8.16091836734694,6.601679245283019,-0.3058984669262559,7.454210662932835e-19,8.86789419307855,7.205736974168408e-18
MIMAT0004784,Unknown (MIMAT0004784),10.538714285714288,9.123994609164422,-0.2079613707694583,8.247366999815999e-19,8.856624629715418,7.687724239114199e-18
MIMAT0000232,Unknown (MIMAT0000232),11.297755102040815,8.978754716981133,-0.3314488598281784,2.003790980223247e-18,8.757076820007743,1.734547038871559e-17
MIMAT0004563,Unknown (MIMAT0004563),11.294081632653064,8.971703504043127,-0.3321131158617709,2.014947448720958e-18,8.756450733154235,1.734547038871559e-17
MIMAT0004673,Unknown (MIMAT0004673),5.616142857142858,4.536676549865229,-0.3079438298293522,2.0601899695409317e-18,8.753946385740207,1.734547038871559e-17
MIMAT0000765,hsa-miR-335-5p,4.525673469387756,3.0696789757412395,-0.5600447091317862,1.1802131587761608e-17,8.55485076632486,9.334413164865998e-17
MIMAT0000437,Unknown (MIMAT0000437),11.057448979591838,9.56833962264151,-0.208678082304758,1.1802131587761608e-17,8.55485076632486,9.334413164865998e-17
MIMAT0016847,Unknown (MIMAT0016847),5.262387755102042,3.838898113207547,-0.4550252856735508,1.9308978022897553e-17,8.497876862655687,1.4822480188165475e-16
MIMAT0017985,Unknown (MIMAT0017985),7.532938775510203,5.371986522911052,-0.4877571183957023,2.4867827423218665e-17,8.46845078054084,1.8544294164171635e-16
MIMAT0004513,Unknown (MIMAT0004513),3.907306122448979,2.9658727762803236,-0.3977175761248639,2.7245183441770326e-17,8.457807304031215,1.9752757995283484e-16
MIMAT0004909,Unknown (MIMAT0004909),4.77234693877551,3.543382749326145,-0.4295716165048362,3.697309581789493e-17,8.422120353381294,2.6081021644515073e-16
MIMAT0000097,Unknown (MIMAT0000097),10.682795918367349,9.15812398921833,-0.2221652783982888,4.1805643911992485e-17,8.407720355750625,2.871387647639484e-16
MIMAT0001631,Unknown (MIMAT0001631),10.56226530612245,8.473574123989218,-0.3178767582449358,4.3396425468007007e-17,8.403337747776073,2.904222319782007e-16
MIMAT0000253,Unknown (MIMAT0000253),14.786122448979592,13.295649595687332,-0.1532895001858207,4.675922925667272e-17,8.39457253182697,3.0510397089978953e-16
MIMAT0002888,Unknown (MIMAT0002888),9.375836734693875,10.407288409703504,0.1505748745341453,6.536121154625789e-17,-8.355129060056004,4.160799076481295e-16
MIMAT0004550,Unknown (MIMAT0004550),6.470040816326529,5.128075471698113,-0.335357318739244,7.305604818538806e-17,8.34198123613235,4.539911565806259e-16
MIMAT0002871,Unknown (MIMAT0002871),7.249836734693878,8.436115902964959,0.2186304101092644,1.218881661196354e-16,-8.281250811342133,7.398328222610428e-16
MIMAT0002177,Unknown (MIMAT0002177),8.198857142857143,6.464469002695418,-0.3428909526052286,4.624625314403288e-16,8.120972576844244,2.743243652407405e-15
MIMAT0000281,hsa-miR-223-3p,3.99765306122449,6.595916442048518,0.7224198502971693,5.891189643540923e-16,-8.091546494729396,3.416889993253735e-15
MIMAT0002876,Unknown (MIMAT0002876),6.936183673469388,5.752159029649596,-0.2700385398766221,3.4095974375564928e-15,7.874920443415843,1.934575937396184e-14
MIMAT0004814,Unknown (MIMAT0004814),5.759469387755102,4.143520215633424,-0.4750789433254367,3.531198507434133e-15,7.870537835441291,1.9609421498729973e-14
MIMAT0006790,hsa-miR-1257,8.420244897959183,5.703770889487871,-0.5619461614475578,5.1597457226758945e-15,7.822955234574731,2.8056117367050177e-14
MIMAT0000434,Unknown (MIMAT0000434),11.45422448979592,10.041725067385444,-0.1898726529581882,6.019119221984442e-15,7.803546542116002,3.206102279465182e-14
MIMAT0000733,Unknown (MIMAT0000733),10.344142857142858,8.681469002695417,-0.2528030159000729,1.2013676737453584e-14,7.715894382624968,6.271139256950771e-14
