miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0001620,5.983163265306121,4.958448780487805,-0.27101957788025866,,,
MIMAT0001621,3.6859387755102047,1.7605429799426933,-1.066011659606537,,,
MIMAT0001625,1.4484571428571429,1.7591293255131963,0.28034455040733053,,,
MIMAT0001627,1.6412591836734693,1.3745975757575757,-0.25579376360821776,,,
MIMAT0001629,0.9327622222222222,1.0362672473867596,0.15181484951454233,,,
MIMAT0001630,0.1966,0.3912611111111111,0.9928684008901769,,,
MIMAT0001631,10.56226530612245,8.473574123989218,-0.3178767582449358,4.339642546800701e-17,8.403337747776073,
MIMAT0001635,5.522040816326531,7.419250673854449,0.4260719338501904,1.4995433234628624e-13,-7.3871987845335925,
MIMAT0001636,1.658934693877551,3.079925945945946,0.8926385691858267,,,
MIMAT0001638,3.084367346938776,2.9553821621621617,-0.06162990170950278,,,
MIMAT0001639,4.245408163265306,3.842539083557951,-0.14384333039997488,0.00015981281812645187,3.7753037266495095,
MIMAT0002170,0.33373333333333327,0.8132708333333333,1.2850400845533407,,,
MIMAT0002171,3.889142857142857,3.7121081300813,-0.06721349387142816,,,
MIMAT0002172,1.4021795918367348,1.4197925233644861,0.018008979456158425,,,
MIMAT0002173,6.1130408163265315,3.703070054945055,-0.7231683571281806,,,
MIMAT0002174,6.053020408163266,6.125595687331536,0.017194931507324096,0.39694188603105396,-0.847095512795487,
MIMAT0002175,0.5174529411764706,0.7501243386243387,0.5357020874586239,,,
MIMAT0002176,2.5475918367346937,2.396679120879121,-0.08809738739820494,,,
MIMAT0002177,8.198857142857143,6.464469002695418,-0.3428909526052286,4.624625314403288e-16,8.120972576844244,
MIMAT0002178,0.6948111111111112,1.1082543209876543,0.6735962571725975,,,
MIMAT0002804,0.27285000000000004,0.3806078651685393,0.48019733114994634,,,
MIMAT0002805,0.42922352941176467,0.6100364705882354,0.5071663310178699,,,
MIMAT0002806,3.0392530612244895,1.1422294117647058,-1.4118643660577308,,,
MIMAT0002807,1.3295306122448978,1.1685043956043957,-0.18625383424905662,,,
MIMAT0002808,4.998836734693878,3.3871490566037736,-0.561520932218287,1.959973176612855e-21,9.507128870509586,
MIMAT0002809,9.565653061224491,10.021504043126685,0.06716367476713758,0.004538982903334194,-2.83805170694896,
MIMAT0002810,0.4767407407407407,0.7129677852348993,0.5806319725657803,,,
MIMAT0002811,0.2709333333333333,0.5005777777777778,0.8856563452877284,,,
MIMAT0002813,3.049469387755102,3.0065252032520324,-0.020461180931174106,,,
MIMAT0002814,3.3366326530612245,3.00676277173913,-0.15018181527706598,,,
MIMAT0002815,0.3003714285714286,0.46715918367346937,0.6371666397629745,,,
MIMAT0002816,1.8228673469387757,1.3554556603773584,-0.42743165734797733,,,
MIMAT0002817,3.44265306122449,2.877284281842819,-0.25881302889607083,,,
MIMAT0002818,1.336608163265306,1.5023988269794721,0.1686912511868185,,,
MIMAT0002819,7.465714285714285,7.300407008086253,-0.03230339894996348,0.36562672399257146,0.9046955033181661,
MIMAT0002820,5.173224489795919,3.8459622641509434,-0.42771919071694353,3.361441324132983e-19,8.95617243942309,
MIMAT0002821,2.464448979591837,2.6597517520215637,0.11002648420744321,0.17170443194434026,-1.3667476012066135,
MIMAT0002822,0.45907499999999996,1.7403744186046508,1.922595942299499,,,
MIMAT0002823,0.5376466666666667,2.021813131313131,1.9109193887138192,,,
MIMAT0002824,0.2479,1.8265650602409638,2.8813029652904136,,,
MIMAT0002825,0.27463333333333334,1.9429510869565216,2.8226709352643113,,,
MIMAT0002826,0.42384285714285713,1.5597214953271028,1.8796870644804966,,,
MIMAT0002827,0.3690571428571428,1.9670708860759492,2.4141328300645877,,,
MIMAT0002828,0.1508,1.1896794871794871,2.979864614150773,,,
MIMAT0002829,0.2893,1.2455923076923077,2.106193711637212,,,
MIMAT0002830,0.26714000000000004,2.042650806451613,2.934774676662909,,,
MIMAT0002832,0.22493333333333332,1.8146570175438597,3.012127516844442,,,
MIMAT0002833,0.5549545454545454,2.1001110294117646,1.920024087924149,,,
MIMAT0002834,0.8186916666666667,2.0541626213592235,1.32715828408591,,,
MIMAT0002835,1.2467944444444443,2.2367951541850224,0.8432095087338312,,,
MIMAT0002836,0.2547,1.7320923076923078,2.7656449523498976,,,
MIMAT0002837,0.31616666666666665,1.9145225352112674,2.5982274637457383,,,
MIMAT0002838,0.7534454545454546,1.8948898550724638,1.3305390135452642,,,
MIMAT0002839,0.35483750000000003,1.7691259740259742,2.3178063916045937,,,
MIMAT0002840,0.34785,1.8234360824742268,2.390122403462218,,,
MIMAT0002841,0.4411666666666667,1.8859714285714282,2.095912126031003,,,
MIMAT0002842,0.29388333333333333,1.956220731707317,2.734753718585186,,,
MIMAT0002843,0.2384,1.920026605504587,3.009670161368922,,,
