source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,1.0,False,Synthesis of PIPs at the Golgi membrane,18,1811,2,10916,0.0011043622308117063,0.1111111111111111,query_1,['REAC:R-HSA-1483255'],"['PIK3C2A', 'FIG4']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1855191,Synthesis of IPs in the nucleus,1.0,False,Synthesis of IPs in the nucleus,4,1811,2,10916,0.0011043622308117063,0.5,query_1,['REAC:R-HSA-1483249'],"['IP6K1', 'IPMK']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1660516,Synthesis of PIPs at the early endosome membrane,1.0,False,Synthesis of PIPs at the early endosome membrane,16,1811,4,10916,0.0022087244616234127,0.25,query_1,['REAC:R-HSA-1483255'],"['PIK3C2A', 'FIG4', 'INPP5F', 'INPP4A']","[['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1660499,Synthesis of PIPs at the plasma membrane,1.0,False,Synthesis of PIPs at the plasma membrane,52,1811,10,10916,0.005521811154058531,0.19230769230769232,query_1,['REAC:R-HSA-1483255'],"['PIK3R2', 'PLEKHA3', 'INPPL1', 'PIK3C2A', 'PIK3C2B', 'PIK3CA', 'PLEKHA4', 'PLEKHA1', 'SBF2', 'INPP4A']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),1.0,False,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),15,1811,3,10916,0.0016565433462175593,0.2,query_1,['REAC:R-HSA-2142753'],"['PTGS2', 'TBXAS1', 'PTGES']","[['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-446210,Synthesis of UDP-N-acetyl-glucosamine,1.0,False,Synthesis of UDP-N-acetyl-glucosamine,8,1811,1,10916,0.0005521811154058532,0.125,query_1,['REAC:R-HSA-446219'],['GFPT1'],[['REAC']]
REAC,REAC:R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,1.0,False,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,30,1811,1,10916,0.0005521811154058532,0.03333333333333333,query_1,['REAC:R-HSA-8852135'],['UBE2H'],[['REAC']]
REAC,REAC:R-HSA-192105,Synthesis of bile acids and bile salts,1.0,False,Synthesis of bile acids and bile salts,33,1811,7,10916,0.003865267807840972,0.21212121212121213,query_1,['REAC:R-HSA-194068'],"['BAAT', 'CYP7A1', 'OSBP', 'CYP7B1', 'ACOT8', 'CYP39A1', 'HSD3B7']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,1.0,False,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,14,1811,2,10916,0.0011043622308117063,0.14285714285714285,query_1,['REAC:R-HSA-192105'],"['CYP39A1', 'HSD3B7']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,1.0,False,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,15,1811,3,10916,0.0016565433462175593,0.2,query_1,['REAC:R-HSA-192105'],"['CYP7A1', 'CYP7B1', 'HSD3B7']","[['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,1.0,False,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,23,1811,5,10916,0.0027609055770292656,0.21739130434782608,query_1,['REAC:R-HSA-192105'],"['BAAT', 'CYP7A1', 'CYP7B1', 'ACOT8', 'HSD3B7']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1660517,Synthesis of PIPs at the late endosome membrane,1.0,False,Synthesis of PIPs at the late endosome membrane,11,1811,2,10916,0.0011043622308117063,0.18181818181818182,query_1,['REAC:R-HSA-1483255'],"['PIK3C2A', 'FIG4']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1295596,Spry regulation of FGF signaling,1.0,False,Spry regulation of FGF signaling,14,1811,3,10916,0.0016565433462175593,0.21428571428571427,query_1,"['REAC:R-HSA-5654726', 'REAC:R-HSA-5654727', 'REAC:R-HSA-5654732', 'REAC:R-HSA-5654733']","['MAPK1', 'PPP2CB', 'MAPK3']","[['REAC'], ['REAC'], ['REAC']]"
